Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  34.871 ,  35.206 ,  34.147 ,  30.498 ,  37.393 ,  40.978 ,  39.473 ,  40.753 ,  62.070 ,  92.520 ,  73.121 ,  101.541 ,  56.294 ,  84.791 ,  105.433 ,  122.398 ,  115.879 ,  65.416 ,  110.214 ,  146.897 ,  138.459 ,  111.395 ,  54.196 
Fevereiro,  38.284 ,  31.051 ,  27.302 ,  23.564 ,  35.061 ,  37.994 ,  39.442 ,  37.181 ,  64.960 ,  83.914 ,  64.652 ,  94.799 ,  60.450 ,  89.051 ,  102.408 ,  120.426 ,  108.829 ,  64.644 ,  96.239 ,  139.739 ,  139.123 ,  111.221 ,  67.184 
Março,  36.015 ,  41.729 ,  29.567 ,  29.096 ,  44.328 ,  41.526 ,  34.311 ,  48.703 ,  67.602 ,  94.625 ,  101.224 ,  57.899 ,  58.884 ,  90.279 ,  85.810 ,  131.486 ,  103.284 ,  77.995 ,  104.227 ,  138.429 ,  116.402 ,  98.709 ,  91.148 
Abril,  38.467 ,  41.250 ,  30.783 ,  25.793 ,  44.213 ,  38.014 ,  30.647 ,  40.911 ,  70.991 ,  100.771 ,  115.257 ,  38.919 ,  59.277 ,  84.234 ,  87.888 ,  146.954 ,  102.004 ,  75.473 ,  105.705 ,  144.855 ,  94.490 ,  108.334 ,  82.306 
Maio,  38.721 ,  39.851 ,  30.701 ,  24.479 ,  49.897 ,  40.906 ,  36.117 ,  45.307 ,  73.161 ,  94.055 ,  117.959 ,  77.987 ,  61.446 ,  81.111 ,  91.860 ,  136.647 ,  104.675 ,  74.035 ,  107.978 ,  146.628 ,  91.954 ,  90.106 ,  70.583 
Junho,  36.209 ,  36.434 ,  28.845 ,  33.278 ,  38.458 ,  44.140 ,  39.022 ,  55.746 ,  72.885 ,  97.086 ,  120.261 ,  85.263 ,  62.214 ,  87.355 ,  90.599 ,  138.193 ,  98.900 ,  73.783 ,  119.709 ,  134.962 ,  86.172 ,  72.277 ,  70.088 
Julho,  44.646 ,  31.246 ,  37.215 ,  36.311 ,  48.689 ,  42.895 ,  44.632 ,  59.018 ,  79.286 ,  101.827 ,  128.958 ,  71.519 ,  64.399 ,  89.067 ,  93.403 ,  145.928 ,  107.738 ,  76.569 ,  132.777 ,  144.920 ,  94.254 ,  76.057 ,
Agosto,  34.766 ,  30.133 ,  31.743 ,  30.359 ,  43.825 ,  44.511 ,  45.096 ,  62.809 ,  77.466 ,  99.836 ,  127.287 ,  65.430 ,  72.511 ,  91.383 ,  109.271 ,  148.759 ,  110.715 ,  92.418 ,  151.291 ,  148.625 ,  98.950 ,  72.444 ,
Setembro,  35.393 ,  30.717 ,  30.694 ,  29.548 ,  42.854 ,  47.354 ,  49.015 ,  65.361 ,  80.643 ,  108.689 ,  131.055 ,  53.725 ,  69.518 ,  87.828 ,  106.571 ,  154.512 ,  114.406 ,  107.638 ,  146.962 ,  151.641 ,  110.919 ,  70.947 ,
Outubro,  33.533 ,  37.483 ,  32.388 ,  36.731 ,  49.277 ,  41.949 ,  49.152 ,  81.571 ,  83.738 ,  110.044 ,  117.829 ,  57.632 ,  80.960 ,  109.233 ,  116.223 ,  163.674 ,  101.259 ,  112.958 ,  163.344 ,  160.192 ,  122.794 ,  72.051 ,
Novembro,  35.032 ,  36.967 ,  25.918 ,  35.266 ,  48.138 ,  44.149 ,  52.557 ,  79.768 ,  79.368 ,  99.637 ,  118.291 ,  51.657 ,  84.243 ,  109.306 ,  111.021 ,  133.055 ,  82.006 ,  115.721 ,  158.967 ,  155.790 ,  107.408 ,  55.896 ,
Dezembro,  39.275 ,  38.763 ,  31.115 ,  42.155 ,  56.631 ,  53.819 ,  61.121 ,  84.126 ,  92.160 ,  110.025 ,  131.106 ,  54.999 ,  84.429 ,  125.264 ,  135.235 ,  148.402 ,  95.546 ,  130.381 ,  168.669 ,  163.767 ,  128.548 ,  72.126 ,