Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Janeiro,  653 ,  646 ,  574 ,  430 ,  265 ,  275 ,  245 ,  255 ,  145 ,  140 ,  100 ,  70 ,  65 ,  30 
Fevereiro,  558 ,  469 ,  412 ,  341 ,  340 ,  345 ,  305 ,  135 ,  185 ,  110 ,  90 ,  55 ,  20 ,  30 
Março,  448 ,  498 ,  472 ,  345 ,  295 ,  415 ,  264 ,  155 ,  130 ,  125 ,  55 ,  50 ,  60 ,  -   
Abril,  471 ,  537 ,  501 ,  233 ,  300 ,  315 ,  225 ,  190 ,  115 ,  110 ,  85 ,  40 ,  30 ,  45 
Maio,  573 ,  604 ,  443 ,  360 ,  345 ,  295 ,  279 ,  180 ,  145 ,  90 ,  90 ,  55 ,  45 ,  30 
Junho,  457 ,  381 ,  476 ,  481 ,  380 ,  260 ,  250 ,  180 ,  95 ,  160 ,  25 ,  60 ,  30 ,  15 
Julho,  523 ,  612 ,  479 ,  465 ,  420 ,  269 ,  260 ,  175 ,  120 ,  130 ,  100 ,  60 ,  15 ,  15 
Agosto,  535 ,  539 ,  358 ,  470 ,  270 ,  305 ,  255 ,  150 ,  110 ,  100 ,  80 ,  40 ,  -   ,  -   
Setembro,  361 ,  443 ,  398 ,  385 ,  475 ,  289 ,  180 ,  180 ,  95 ,  110 ,  50 ,  40 ,  55 ,  30 
Outubro,  577 ,  586 ,  532 ,  401 ,  310 ,  214 ,  245 ,  145 ,  150 ,  75 ,  85 ,  55 ,  25 ,  -   
Novembro,  609 ,  441 ,  417 ,  325 ,  435 ,  185 ,  200 ,  135 ,  110 ,  50 ,  85 ,  35 ,  -   ,  -   
Dezembro,  463 ,  371 ,  356 ,  310 ,  295 ,  220 ,  130 ,  115 ,  95 ,  100 ,  55 ,  25 ,  25 ,  -   